Date,Open,High,Low,Close,Volume
6-Jul-22,30.17,30.57,28.34,29.36,"2,497,249"
7-Jul-22,31.12,33.88,30.45,33.78,"7,578,391"
8-Jul-22,31.67,33.17,30.63,32.14,"3,299,861"
11-Jul-22,32.14,32.94,31.16,32.52,"1,889,586"
12-Jul-22,32.7,35.65,31.82,34.28,"4,224,920"
13-Jul-22,33.75,36.34,33.75,35.32,"3,425,947"
14-Jul-22,34.8,37.99,34.05,34.05,"5,242,552"
15-Jul-22,34.86,35.59,33.51,35.41,"2,458,118"
18-Jul-22,36.25,37.4,35.77,36.66,"2,788,783"
19-Jul-22,37.44,39.21,36.59,37.92,"3,206,955"
20-Jul-22,38.5,40.41,38.35,39.69,"2,850,073"
21-Jul-22,39.93,40,37.29,38.37,"2,319,449"
22-Jul-22,36.88,38.7,34.93,35.78,"10,060,249"
25-Jul-22,35,35.51,33.25,33.98,"5,686,259"
26-Jul-22,32.87,33.31,32.1,32.43,"4,866,070"
27-Jul-22,32.96,34.12,32.16,33.78,"4,251,215"
28-Jul-22,33.39,34.43,32.66,33.84,"3,207,363"
29-Jul-22,33.68,34.79,33.06,34.01,"3,988,750"
1-Aug-22,33.8,35.71,33.77,34.78,"4,196,630"
2-Aug-22,35.9,36.8,35.12,35.84,"4,697,134"
3-Aug-22,36.22,38.01,36,37.93,"5,186,482"
4-Aug-22,38.34,39.89,37.89,38.36,"5,421,500"
5-Aug-22,37.37,40.43,36.56,40.02,"8,124,235"
8-Aug-22,41.29,47.99,40.75,43.45,"18,045,598"
9-Aug-22,42.14,43.19,39,40.37,"6,954,188"
10-Aug-22,42,42,38.63,40.53,"5,434,675"
11-Aug-22,40.91,41.97,39.35,39.45,"5,140,480"
12-Aug-22,40,41.43,39.15,40.74,"5,120,040"
15-Aug-22,39.75,40.39,38.81,39.68,"5,243,088"
16-Aug-22,39.17,45.53,38.6,42.19,"23,602,780"
17-Aug-22,42.18,44.36,40.41,40.52,"9,766,448"
18-Aug-22,39.27,40.07,37.34,37.93,"8,145,446"
19-Aug-22,35.18,37.19,34.67,36.49,"9,551,861"
22-Aug-22,34.31,36.2,34.2,34.5,"5,798,630"
23-Aug-22,34.7,34.99,33.45,33.53,"4,836,309"
24-Aug-22,34,34.94,32.44,32.5,"5,620,333"
25-Aug-22,32.84,32.89,31.5,31.96,"4,726,286"
26-Aug-22,31.5,32.38,30.63,30.94,"4,297,295"
29-Aug-22,30.48,32.75,30.38,31.55,"4,292,686"
30-Aug-22,31.62,31.87,29.42,29.84,"5,060,206"
31-Aug-22,29.25,29.96,28.26,28.64,"5,157,027"
1-Sep-22,28,28.91,26.95,27.63,"5,293,858"
2-Sep-22,28.26,28.74,26.93,27.36,"4,680,123"
6-Sep-22,25.75,26.72,24.67,25.14,"7,010,190"
7-Sep-22,24.73,25.19,23.42,24.04,"12,504,683"
