Date,Open,High,Low,Close,Volume
1-Jul-21,124.85,126.46,124.85,126.37,"856,230"
2-Jul-21,126.84,128.85,126.77,128.72,"1,058,256"
6-Jul-21,129.45,129.88,128.41,129.77,"1,067,517"
7-Jul-21,130.34,130.64,129.76,130.08,"834,186"
8-Jul-21,128.25,130.03,128.04,129.18,"988,975"
9-Jul-21,128.94,129.85,128.94,129.57,"755,466"
12-Jul-21,129.83,130.77,129.6,130.56,"847,546"
13-Jul-21,130.88,132.04,130.64,130.99,"830,898"
14-Jul-21,131.9,133,131.9,132.08,"895,927"
15-Jul-21,132.5,132.6,130.6,131.27,"829,316"
16-Jul-21,131.64,132.18,130.82,131.85,"743,059"
19-Jul-21,131.16,131.25,128.54,129.25,"1,285,466"
20-Jul-21,130,132,129.19,131.1,"954,156"
21-Jul-21,130.79,132.62,130.6,132.6,"737,082"
22-Jul-21,132.65,133.5,132.4,133.33,"680,407"
23-Jul-21,135.26,138.81,134.7,137.82,"1,318,887"
26-Jul-21,138.25,139.71,137.65,139.64,"1,152,623"
27-Jul-21,140.01,140.01,135.1,136.8,"2,108,153"
28-Jul-21,138.56,139.68,136.35,136.38,"2,734,417"
29-Jul-21,136.38,137.15,136.14,136.54,"964,167"
30-Jul-21,135.51,135.77,134.81,135.22,"1,197,725"
2-Aug-21,135.48,136.02,134.67,135.99,"1,007,002"
3-Aug-21,136,136.34,134.18,136.28,"953,200"
4-Aug-21,136.25,136.54,135.42,136.03,"826,357"
5-Aug-21,136.03,136.95,135.6,136.94,"593,589"
6-Aug-21,136.29,137.08,136.05,137.04,"678,251"
9-Aug-21,136.95,138.32,136.43,138,"618,978"
10-Aug-21,138.08,138.55,137.23,138.1,"801,954"
11-Aug-21,138.28,138.85,137.35,137.69,"760,483"
12-Aug-21,137.71,138.42,136.78,138.39,"732,470"
13-Aug-21,138.36,138.67,138.01,138.41,"629,029"
16-Aug-21,138,138.99,136.17,138.92,"902,542"
17-Aug-21,138.19,138.72,136.79,137.3,"1,063,701"
18-Aug-21,137.12,138.29,136.42,136.57,"746,723"
19-Aug-21,135.47,137.45,135.36,136.91,"914,796"
20-Aug-21,137.08,138.61,136.47,138.44,"778,337"
23-Aug-21,139,142.18,138.75,141.1,"1,054,484"
24-Aug-21,141.54,143.01,141.35,142.4,"756,313"
25-Aug-21,142.88,143.31,142.44,142.95,"642,153"
26-Aug-21,142.62,143.13,142.09,142.12,"746,100"
27-Aug-21,142.11,145.01,142.02,144.55,"1,228,412"
30-Aug-21,144.7,146.49,144.6,145.47,"845,795"
31-Aug-21,145.88,146.11,145,145.46,"1,337,821"
1-Sep-21,145.65,146.82,145.61,145.84,"791,234"
2-Sep-21,145.95,146.32,144.11,144.22,"1,092,790"
3-Sep-21,144.15,145.38,143.51,144.78,"955,524"
7-Sep-21,144.75,145.82,144.54,145.52,"758,630"
8-Sep-21,145.39,145.55,144.2,144.88,"774,583"
9-Sep-21,144.88,145.67,144.43,144.91,"739,928"
10-Sep-21,145.44,146.02,141.74,141.92,"1,644,831"
13-Sep-21,143.2,144.19,142.28,143.47,"1,008,781"
14-Sep-21,144.16,144.73,142.91,143.41,"945,957"
15-Sep-21,143.76,145.58,142.26,145.21,"1,032,671"
16-Sep-21,145.12,145.2,143.42,144.37,"1,014,942"
17-Sep-21,143.8,144.25,141.06,141.46,"3,001,991"
20-Sep-21,139,139.36,137.05,139.02,"1,745,886"
21-Sep-21,140.12,140.81,138.91,139.65,"906,469"
22-Sep-21,140.05,141.58,139.47,140.94,"1,103,390"
23-Sep-21,141.61,142.25,141.1,141.83,"863,805"
24-Sep-21,140.95,142.9,140.85,142.63,"747,467"
27-Sep-21,141.59,142.5,140.5,141.5,"942,204"
28-Sep-21,139.09,139.61,135.7,136.18,"2,109,483"
29-Sep-21,137.11,137.4,134.25,134.52,"1,316,861"
30-Sep-21,134.32,135.59,133,133.27,"1,768,199"
1-Oct-21,133.55,137.07,133.38,136.46,"1,419,365"
4-Oct-21,135.7,135.7,131.17,133.76,"1,576,495"
5-Oct-21,134,137.36,134,136.18,"1,206,337"
6-Oct-21,134.63,137.85,134.49,137.35,"988,216"
7-Oct-21,138.86,140.15,138.56,139.19,"912,523"
8-Oct-21,139.91,140.32,139.43,140.06,"946,421"
11-Oct-21,139.8,140.76,138.81,138.85,"829,238"
12-Oct-21,139.64,139.7,136.25,136.71,"1,126,751"
13-Oct-21,137.75,138.55,136.98,137.9,"819,664"
14-Oct-21,139.95,141.65,139.34,141.41,"1,071,878"
15-Oct-21,142.2,142.2,141.06,141.68,"1,062,668"
18-Oct-21,141.21,143,141.21,142.96,"828,360"
19-Oct-21,143.29,144.11,143.1,143.82,"765,792"
20-Oct-21,144.22,144.25,141.91,142.42,"896,975"
21-Oct-21,142.19,142.85,141.64,142.78,"742,496"
22-Oct-21,140.35,141.56,137.17,138.63,"1,509,132"
25-Oct-21,138.81,139.21,136.75,138.77,"1,054,085"
26-Oct-21,140.61,140.84,139.01,139.67,"1,412,937"
27-Oct-21,139.9,149.12,139.9,146.43,"2,592,546"
28-Oct-21,147.3,147.42,144.76,146.13,"1,620,903"
29-Oct-21,145.52,148.61,145.17,148.27,"1,447,725"
1-Nov-21,148.17,148.4,143.58,143.77,"1,613,605"
2-Nov-21,144.81,146.92,144.64,145.86,"1,057,529"
3-Nov-21,146.28,146.91,145.05,146.79,"894,330"
4-Nov-21,147.2,149.95,146.64,148.68,"1,235,040"
5-Nov-21,149.35,150.57,148.65,149.24,"1,020,407"
8-Nov-21,150,151.03,149.12,149.35,"919,407"
9-Nov-21,149.75,150.38,147.51,149.25,"843,778"
10-Nov-21,148.01,148.7,145.32,146.63,"1,135,416"
11-Nov-21,147.11,148.5,146.69,146.75,"623,155"
12-Nov-21,147.83,149.86,146.45,149.65,"852,383"
15-Nov-21,150,150.48,148.65,149.39,"812,367"
16-Nov-21,149.17,149.83,148.35,149.08,"862,743"
17-Nov-21,149.23,149.63,148.56,149.06,"764,541"
18-Nov-21,149.15,151.61,149,150.71,"1,334,120"
19-Nov-21,151,151.85,149.89,149.95,"989,148"
22-Nov-21,150.14,150.74,147.01,147.08,"1,231,385"
23-Nov-21,147.11,147.69,144.89,146.76,"906,657"
24-Nov-21,146.35,147,145.2,146.72,"823,203"
26-Nov-21,145.02,145.3,142.49,142.81,"849,606"
29-Nov-21,144.3,146.86,144.3,146.11,"1,313,806"
30-Nov-21,145.45,146.63,142.07,142.45,"2,079,526"
1-Dec-21,144.21,146.5,141.5,141.62,"1,427,289"
2-Dec-21,141.82,144.68,140.98,143.78,"1,062,535"
3-Dec-21,144.5,145.21,141.15,142.52,"1,334,374"
6-Dec-21,143.57,144.35,140.65,143.8,"1,109,885"
7-Dec-21,145.95,148.3,145.7,148.04,"1,162,914"
8-Dec-21,148.33,149.16,147.2,148.72,"948,197"
9-Dec-21,148.18,149.6,147.53,148.11,"929,030"
10-Dec-21,149.1,149.4,147.36,148.68,"1,081,923"
13-Dec-21,148.44,148.56,146.36,146.7,"1,205,196"
14-Dec-21,144.77,145.44,142.24,144.97,"1,238,940"
15-Dec-21,144.37,147.52,142.71,147.37,"1,364,048"
16-Dec-21,148.08,148.55,144.09,144.84,"1,369,987"
17-Dec-21,142.71,144.46,141.79,142.8,"2,170,235"
20-Dec-21,140.68,142.61,140.25,142.4,"1,013,176"
21-Dec-21,143.15,144.69,141.74,144.22,"977,597"
22-Dec-21,144.1,147.3,143.96,146.95,"922,024"
23-Dec-21,147.09,148.57,146.95,147.14,"690,934"
27-Dec-21,147.46,148.43,147.25,148.06,"662,966"
28-Dec-21,148.37,148.37,145.94,146.45,"931,792"
29-Dec-21,146.43,147.18,145.5,146.5,"851,236"
30-Dec-21,146.45,147.06,145.76,146,"648,851"
31-Dec-21,145.54,146.37,144.68,144.68,"864,885"
3-Jan-22,144.48,145.55,143.5,145.07,"1,261,225"
4-Jan-22,145.55,146.61,143.82,144.42,"1,146,389"
5-Jan-22,144.18,144.3,137.52,137.65,"2,482,076"
6-Jan-22,137.5,139.69,136.76,137.55,"1,452,452"
7-Jan-22,137.91,138.25,135.79,137,"970,412"
10-Jan-22,135.1,138.64,133.14,138.57,"1,704,784"
11-Jan-22,138.18,140.33,136.81,140.02,"1,175,062"
12-Jan-22,141.55,142.81,141.11,141.65,"1,182,079"
13-Jan-22,141.84,143.19,138.91,139.13,"1,328,254"
14-Jan-22,137.5,141.2,137.5,139.79,"1,191,296"
18-Jan-22,136.6,137.39,135.62,136.29,"1,370,098"
19-Jan-22,136.94,138.4,135.5,135.65,"1,039,764"
20-Jan-22,136.51,137.91,133.14,133.51,"1,096,528"
21-Jan-22,133.01,134.76,130,130.09,"2,095,961"
24-Jan-22,126.03,130.78,124.64,130.37,"2,764,602"
25-Jan-22,128.44,129.34,126.38,126.74,"1,800,430"
